 x,y,c (mol/m^3)
110,-115,1.00E-04
111,-115,1.00E-04
112,-115,1.00E-04
113,-115,1.00E-04
114,-115,1.00E-04
115,-115,1.00E-04
-115,-114,1.00E-04
-114,-114,1.00E-04
-113,-114,1.00E-04
-112,-114,1.00E-04
-111,-114,1.00E-04
-110,-114,1.00E-04
-109,-114,1.00E-04
-108,-114,1.00E-04
-107,-114,1.00E-04
-106,-114,1.00E-04
-105,-114,1.00E-04
-104,-114,1.00E-04
-103,-114,1.00E-04
-102,-114,1.00E-04
-101,-114,1.00E-04
-100,-114,1.00E-04
-99,-114,1.00E-04
-98,-114,1.00E-04
-97,-114,1.00E-04
-96,-114,1.00E-04
-95,-114,1.00E-04
-94,-114,1.00E-04
-93,-114,1.00E-04
-92,-114,1.00E-04
-91,-114,1.00E-04
-90,-114,1.00E-04
-89,-114,1.00E-04
-88,-114,1.00E-04
-87,-114,1.00E-04
-86,-114,1.00E-04
-85,-114,1.00E-04
-84,-114,1.00E-04
-83,-114,1.00E-04
-82,-114,1.00E-04
-81,-114,1.00E-04
-80,-114,1.00E-04
-79,-114,1.00E-04
-78,-114,1.00E-04
-77,-114,1.00E-04
-76,-114,1.00E-04
-75,-114,1.00E-04
-74,-114,1.00E-04
-73,-114,1.00E-04
-72,-114,1.00E-04
-71,-114,1.00E-04
-70,-114,1.00E-04
-69,-114,1.00E-04
-68,-114,1.00E-04
-67,-114,1.00E-04
-66,-114,1.00E-04
-65,-114,1.00E-04
-64,-114,1.00E-04
-63,-114,1.00E-04
-62,-114,1.00E-04
-61,-114,1.00E-04
-60,-114,1.00E-04
-59,-114,1.00E-04
-58,-114,1.00E-04
-57,-114,1.00E-04
-56,-114,1.00E-04
-55,-114,1.00E-04
-54,-114,1.00E-04
-53,-114,1.00E-04
-52,-114,1.00E-04
-51,-114,1.00E-04
-50,-114,1.00E-04
-49,-114,1.00E-04
-48,-114,1.00E-04
-47,-114,1.00E-04
-46,-114,1.00E-04
-45,-114,1.00E-04
-44,-114,1.00E-04
-43,-114,1.00E-04
-42,-114,1.00E-04
-41,-114,1.00E-04
-40,-114,1.00E-04
-39,-114,1.00E-04
-38,-114,1.00E-04
-37,-114,1.00E-04
-36,-114,1.00E-04
-35,-114,1.00E-04
-34,-114,1.00E-04
-33,-114,1.00E-04
-32,-114,1.00E-04
-31,-114,1.00E-04
-30,-114,1.00E-04
-29,-114,1.00E-04
-28,-114,1.00E-04
-27,-114,1.00E-04
-26,-114,1.00E-04
-25,-114,1.00E-04
-24,-114,1.00E-04
-23,-114,1.00E-04
-22,-114,1.00E-04
-21,-114,1.00E-04
-20,-114,1.00E-04
-19,-114,1.00E-04
-18,-114,1.00E-04
-17,-114,1.00E-04
-16,-114,1.00E-04
-15,-114,1.00E-04
-14,-114,1.00E-04
-13,-114,1.00E-04
-12,-114,1.00E-04
-11,-114,1.00E-04
-10,-114,1.00E-04
-9,-114,1.00E-04
-8,-114,1.00E-04
-7,-114,1.00E-04
-6,-114,1.00E-04
-5,-114,1.00E-04
-4,-114,1.00E-04
-3,-114,1.00E-04
-2,-114,1.00E-04
-1,-114,1.00E-04
0,-114,1.00E-04
1,-114,1.00E-04
2,-114,1.00E-04
3,-114,1.00E-04
4,-114,1.00E-04
5,-114,1.00E-04
6,-114,1.00E-04
7,-114,1.00E-04
8,-114,1.00E-04
9,-114,1.00E-04
10,-114,1.00E-04
11,-114,1.00E-04
12,-114,1.00E-04
13,-114,1.00E-04
14,-114,1.00E-04
15,-114,1.00E-04
16,-114,1.00E-04
17,-114,1.00E-04
18,-114,1.00E-04
19,-114,1.00E-04
20,-114,1.00E-04
21,-114,1.00E-04
22,-114,1.00E-04
23,-114,1.00E-04
24,-114,1.00E-04
25,-114,1.00E-04
26,-114,1.00E-04
27,-114,1.00E-04
28,-114,1.00E-04
29,-114,1.00E-04
30,-114,1.00E-04
31,-114,1.00E-04
32,-114,1.00E-04
33,-114,1.00E-04
34,-114,1.00E-04
35,-114,1.00E-04
36,-114,1.00E-04
37,-114,1.00E-04
38,-114,1.00E-04
39,-114,1.00E-04
40,-114,1.00E-04
41,-114,1.00E-04
42,-114,1.00E-04
43,-114,1.00E-04
44,-114,1.00E-04
45,-114,1.00E-04
46,-114,1.00E-04
47,-114,1.00E-04
48,-114,1.00E-04
49,-114,1.00E-04
50,-114,1.00E-04
51,-114,1.00E-04
52,-114,1.00E-04
53,-114,1.00E-04
54,-114,1.00E-04
55,-114,1.00E-04
56,-114,1.00E-04
57,-114,1.00E-04
58,-114,1.00E-04
59,-114,1.00E-04
60,-114,1.00E-04
61,-114,1.00E-04
62,-114,1.00E-04
63,-114,1.00E-04
64,-114,1.00E-04
65,-114,1.00E-04
66,-114,1.00E-04
67,-114,1.00E-04
68,-114,1.00E-04
69,-114,1.00E-04
70,-114,1.00E-04
71,-114,1.00E-04
72,-114,1.00E-04
73,-114,1.00E-04
74,-114,1.00E-04
75,-114,1.00E-04
76,-114,1.00E-04
