% x                       y                        z                        abs(c) (mol/m^3) @ t=36000
0                         0.11                     0.025                    0.8538065748368313
0.01                      0.11                     0.025                    1.5181300951212686
0.02                      0.11                     0.025                    3.016759412895519
0.03                      0.11                     0.025                    5.721549405695722
0.04                      0.11                     0.025                    9.251855948988178
0.05                      0.11                     0.025                    12.794408072006227
0.06                      0.11                     0.025                    15.75672192024443
0.07                      0.11                     0.025                    16.91219394843276
0.08                      0.11                     0.025                    15.812074524159357
0.09                      0.11                     0.025                    13.091826275467275
0.1                       0.11                     0.025                    10.051988103859316
0.11                      0.11                     0.025                    7.547038521957424
0.12                      0.11                     0.025                    6.631781569034749
0.13                      0.11                     0.025                    7.074406968838499
0.14                      0.11                     0.025                    8.470004961326934
0.15                      0.11                     0.025                    9.941053628634641
0.16                      0.11                     0.025                    10.579409664561698
0.17                      0.11                     0.025                    9.838456845262883
0.18                      0.11                     0.025                    8.023810622958328
0.19                      0.11                     0.025                    5.781372244415655
0.2                       0.11                     0.025                    3.5802216706770587
0.21                      0.11                     0.025                    1.882028371688813
0.22                      0.11                     0.025                    0.9397910270277141
0.23                      0.11                     0.025                    0.49236540770427417
0                         0.12                     0.025                    0.853115513856592
0.01                      0.12                     0.025                    1.4881911657223401
0.02                      0.12                     0.025                    3.055218435039572
0.03                      0.12                     0.025                    5.736390155986197
0.04                      0.12                     0.025                    9.201094511083124
0.05                      0.12                     0.025                    12.87430950152588
0.06                      0.12                     0.025                    15.756448158186796
0.07                      0.12                     0.025                    16.924787154772815
0.08                      0.12                     0.025                    15.792185919641058
0.09                      0.12                     0.025                    13.085951102796994
0.1                       0.12                     0.025                    9.96045611149875
0.11                      0.12                     0.025                    7.708085114983241
0.12                      0.12                     0.025                    6.629172408634032
0.13                      0.12                     0.025                    7.097748314423935
0.14                      0.12                     0.025                    8.47049150971815
0.15                      0.12                     0.025                    9.930068488837126
0.16                      0.12                     0.025                    10.577764781000718
0.17                      0.12                     0.025                    9.841446938434629
0.18                      0.12                     0.025                    8.008850126980619
0.19                      0.12                     0.025                    5.806835956012681
0.2                       0.12                     0.025                    3.5914095653658213
0.21                      0.12                     0.025                    1.8913173072884537
0.22                      0.12                     0.025                    0.9346064405085901
0.23                      0.12                     0.025                    0.552081990153731
0                         0.13                     0.025                    0.7256931688559178
0.01                      0.13                     0.025                    1.2872493361753026
0.02                      0.13                     0.025                    2.5818009130685233
0.03                      0.13                     0.025                    4.972810761505167
0.04                      0.13                     0.025                    8.04637071255358
0.05                      0.13                     0.025                    11.234617600304906
0.06                      0.13                     0.025                    13.754244768210569
0.07                      0.13                     0.025                    14.72137687609228
0.08                      0.13                     0.025                    13.80977016597124
0.09                      0.13                     0.025                    11.507192758084843
0.1                       0.13                     0.025                    8.79778774984037
0.11                      0.13                     0.025                    6.6584234212367885
0.12                      0.13                     0.025                    5.653787586361272
0.13                      0.13                     0.025                    6.189784629609297
0.14                      0.13                     0.025                    7.408562628790502
0.15                      0.13                     0.025                    8.659784600611525
0.16                      0.13                     0.025                    9.19235938110087
0.17                      0.13                     0.025                    8.571644175261106
0.18                      0.13                     0.025                    7.052994228871373
0.19                      0.13                     0.025                    5.02082503676196
0.2                       0.13                     0.025                    3.103751863245705
0.21                      0.13                     0.025                    1.6386605451757954
0.22                      0.13                     0.025                    0.799825531331583
0.23                      0.13                     0.025                    0.46548875844704796
0                         0.14                     0.025                    0.49396768227631505
0.01                      0.14                     0.025                    0.928446227670142
0.02                      0.14                     0.025                    1.9813809421625281
