% x	y	z	pH
0.1	0.13	0.025	2.467656457
0.11	0.13	0.025	2.790960621
0.12	0.13	0.025	3.214269175
0.13	0.13	0.025	3.357236894
0.14	0.13	0.025	3.22535779
0.15	0.13	0.025	3.080771462
0.16	0.13	0.025	3.027183562
0.17	0.13	0.025	3.074516737
0.18	0.13	0.025	3.214152285
0.19	0.13	0.025	3.454343736
0.2	0.13	0.025	3.802665406
0.21	0.13	0.025	4.32267241
0.22	0.13	0.025	5.134142467
0.23	0.13	0.025	5.791923505
0	0.14	0.025	4.768038219
0.01	0.14	0.025	4.659879055
0.02	0.14	0.025	3.568202085
0.03	0.14	0.025	3.006230535
0.04	0.14	0.025	2.654085859
0.05	0.14	0.025	2.41315491
0.06	0.14	0.025	2.259772646
0.07	0.14	0.025	2.217141167
0.08	0.14	0.025	2.260280274
0.09	0.14	0.025	2.409986883
0.1	0.14	0.025	2.664481443
0.11	0.14	0.025	3.026482833
0.12	0.14	0.025	3.444599624
0.13	0.14	0.025	3.584941665
0.14	0.14	0.025	3.422626238
0.15	0.14	0.025	3.264177986
0.16	0.14	0.025	3.215309834
0.17	0.14	0.025	3.26400449
0.18	0.14	0.025	3.409541059
0.19	0.14	0.025	3.655922438
0.2	0.14	0.025	4.003898172
0.21	0.14	0.025	4.615711227
0.22	0.14	0.025	5.516925225
0.23	0.14	0.025	5.758878863
0	0.15	0.025	4.794133677
0.01	0.15	0.025	5.288411534
0.02	0.15	0.025	3.962217111
0.03	0.15	0.025	3.365629234
0.04	0.15	0.025	2.981622237
0.05	0.15	0.025	2.717476769
0.06	0.15	0.025	2.554635441
0.07	0.15	0.025	2.509461698
0.08	0.15	0.025	2.55488568
0.09	0.15	0.025	2.713194151
0.1	0.15	0.025	2.988956296
0.11	0.15	0.025	3.398696504
0.12	0.15	0.025	3.808323672
0.13	0.15	0.025	3.9569385
0.14	0.15	0.025	3.721346948
0.15	0.15	0.025	3.556292091
0.16	0.15	0.025	3.505142098
0.17	0.15	0.025	3.555656527
0.18	0.15	0.025	3.710881938
0.19	0.15	0.025	3.982085454
0.2	0.15	0.025	4.354583623
0.21	0.15	0.025	5.045756523
0.22	0.15	0.025	6.514351281
0.23	0.15	0.025	5.825848529
0	0.16	0.025	5.03158595
0.01	0.16	0.025	5.027710552
0.02	0.16	0.025	4.852507129
0.03	0.16	0.025	3.958946202
0.04	0.16	0.025	3.432272215
0.05	0.16	0.025	3.141959947
0.06	0.16	0.025	2.973276399
0.07	0.16	0.025	2.923618775
0.08	0.16	0.025	2.966640861
0.09	0.16	0.025	3.149454728
0.1	0.16	0.025	3.452906318
0.11	0.16	0.025	3.982363589
0.12	0.16	0.025	4.662854327
0.13	0.16	0.025	4.637555733
0.14	0.16	0.025	4.189940393
0.15	0.16	0.025	3.992978954
0.16	0.16	0.025	3.91336065
0.17	0.16	0.025	3.969922395
0.18	0.16	0.025	4.14051993
0.19	0.16	0.025	4.421311016
0.2	0.16	0.025	5.01754128
0.21	0.16	0.025	5.910352831
0.22	0.16	0.025	6.028585906
0.23	0.16	0.025	6.05105255
0	0.17	0.025	5.421129353
0.01	0.17	0.025	5.257106958
0.02	0.17	0.025	5.112604348
0.03	0.17	0.025	5.430900007
0.04	0.17	0.025	4.128928881
0.05	0.17	0.025	3.804766687
0.06	0.17	0.025	3.614999589
0.07	0.17	0.025	3.518208898
0.08	0.17	0.025	3.583644881
0.09	0.17	0.025	3.83974463
0.1	0.17	0.025	4.139582319
0.11	0.17	0.025	4.917305981
0.12	0.17	0.025	5.252040673
0.13	0.17	0.025	6.062037242
0.14	0.17	0.025	4.928209952
0.15	0.17	0.025	4.588958268
0.16	0.17	0.025	4.505733605
0.17	0.17	0.025	4.560494773
0.18	0.17	0.025	4.807185669
0.19	0.17	0.025	5.102336937
0.2	0.17	0.025	6.059072419
0.21	0.17	0.025	6.043026136
0.22	0.17	0.025	6.236513075
0.23	0.17	0.025	6.451331078
0	0.18	0.025	6.265979623
0.01	0.18	0.025	5.787868144
0.02	0.18	0.025	5.298998702
0.03	0.18	0.025	5.073281047
0.04	0.18	0.025	5.139644653
0.05	0.18	0.025	5.687132518
0.06	0.18	0.025	4.575793437
0.07	0.18	0.025	4.400285358
0.08	0.18	0.025	4.468766729
0.09	0.18	0.025	4.960048738
0.1	0.18	0.025	5.468487771
0.11	0.18	0.025	5.066906633
0.12	0.18	0.025	5.201311485
0.13	0.18	0.025	5.600655652
0.14	0.18	0.025	6.216171445
0.15	0.18	0.025	5.733016775
0.16	0.18	0.025	5.546435483
0.17	0.18	0.025	5.596907942
0.18	0.18	0.025	6.300387864
0.19	0.18	0.025	6.381206085
0.2	0.18	0.025	6.174444868
0.21	0.18	0.025	6.360379103
0.22	0.18	0.025	6.932338034
0.23	0.18	0.025	7.909313506
0	0.19	0.025	6.236596173
0.01	0.19	0.025	7.813331889
0.02	0.19	0.025	5.80512304
0.03	0.19	0.025	5.421914055
0.04	0.19	0.025	5.190760734
0.05	0.19	0.025	5.10578964
0.06	0.19	0.025	5.154357551
0.07	0.19	0.025	5.179257442
0.08	0.19	0.025	5.150358132
0.09	0.19	0.025	5.238217489
0.1	0.19	0.025	5.316377542
0.11	0.19	0.025	5.432974106
0.12	0.19	0.025	5.70191741
0.13	0.19	0.025	6.082594784
0.14	0.19	0.025	6.179937609
0.15	0.19	0.025	6.088934801
0.16	0.19	0.025	6.130404033
0.17	0.19	0.025	6.150246129
0.18	0.19	0.025	6.152590314
0.19	0.19	0.025	6.304612259
0.2	0.19	0.025	6.593481708
0.21	0.19	0.025	7.18104334
0.22	0.19	0.025	7.05855807
0.23	0.19	0.025	6.818595412
0	0.2	0.025	6.4004454
0.01	0.2	0.025	6.499132145
0.02	0.2	0.025	6.925377169
0.03	0.2	0.025	6.368983991
0.04	0.2	0.025	5.795274813
0.05	0.2	0.025	5.591636882
0.06	0.2	0.025	5.504024153
0.07	0.2	0.025	5.483712546
0.08	0.2	0.025	5.488013537
0.09	0.2	0.025	5.658565888
0.1	0.2	0.025	5.902395152
0.11	0.2	0.025	6.25400113
0.12	0.2	0.025	7.867740277
0.13	0.2	0.025	8.037698104
0.14	0.2	0.025	6.873121218
0.15	0.2	0.025	6.584855787
0.16	0.2	0.025	6.523193202
0.17	0.2	0.025	6.581293425
0.18	0.2	0.025	6.801137004
0.19	0.2	0.025	7.170532159
0.2	0.2	0.025	7.345846826
0.21	0.2	0.025	7.018562475
0.22	0.2	0.025	6.924550203
0.23	0.2	0.025	6.884097304
0	0.21	0.025	6.729603465
0.01	0.21	0.025	6.627480678
0.02	0.21	0.025	6.461549034
0.03	0.21	0.025	6.520626763
0.04	0.21	0.025	6.644119009
0.05	0.21	0.025	7.796408237
0.06	0.21	0.025	6.885514707
0.07	0.21	0.025	6.705762408
0.08	0.21	0.025	6.961432912
0.09	0.21	0.025	7.706082857
0.1	0.21	0.025	6.921938635
0.11	0.21	0.025	6.545991743
0.12	0.21	0.025	6.574491358
0.13	0.21	0.025	6.689110881
0.14	0.21	0.025	6.876839928
0.15	0.21	0.025	7.129211712
0.16	0.21	0.025	7.305353667
0.17	0.21	0.025	7.150728153
0.18	0.21	0.025	7.06188821
0.19	0.21	0.025	6.979927164
0.2	0.21	0.025	6.93324292
0.21	0.21	0.025	6.940014111
0.22	0.21	0.025	6.964164665
0.23	0.21	0.025	6.968502782
0	0.22	0.025	6.984623802
0.01	0.22	0.025	6.931158528
0.02	0.22	0.025	6.789434284
0.03	0.22	0.025	6.63137582
0.04	0.22	0.025	6.5639717
0.05	0.22	0.025	6.612710591
0.06	0.22	0.025	6.560696339
0.07	0.22	0.025	6.566246223
0.08	0.22	0.025	6.53288979
0.09	0.22	0.025	6.570205695
0.1	0.22	0.025	6.654139651
0.11	0.22	0.025	6.750719416
0.12	0.22	0.025	6.814926142
0.13	0.22	0.025	6.884419213
